,Date,Latitude,Longitude,Bin_Number,Bin_value,bin_cate
0,2022-02-01,12.879995,80.07858,1,55,1
1,2022-02-01,12.880075,80.078284,2,27,1
2,2022-02-01,12.880195,80.078042,3,71,1
3,2022-02-01,12.880242,80.077833,4,58,1
4,2022-02-01,12.880336,80.077602,5,73,1
5,2022-02-01,12.880424,80.077378,6,77,1
6,2022-02-01,12.880503,80.077136,7,89,1
7,2022-02-01,12.88043,80.076799,8,47,1
8,2022-02-01,12.880518,80.076922,9,92,1
9,2022-02-01,12.880215,80.076766,10,87,1
10,2022-02-01,12.880027,80.076831,11,77,2
11,2022-02-01,12.879985,80.076997,12,99,2
12,2022-02-01,12.879938,80.077174,13,39,2
13,2022-02-01,12.879901,80.077351,14,44,2
14,2022-02-01,12.879818,80.077496,15,46,2
15,2022-02-01,12.879781,80.077743,16,90,2
16,2022-02-01,12.879708,80.077904,17,61,2
17,2022-02-01,12.87965,80.07806,18,32,2
18,2022-02-01,12.879603,80.078264,19,54,2
19,2022-02-01,12.879512,80.078409,20,57,2
20,2022-02-01,12.881547,80.076461,21,69,3
21,2022-02-01,12.881715,80.075999,22,52,3
22,2022-02-01,12.881924,80.075602,23,87,3
23,2022-02-01,12.882101,80.075261,24,40,3
24,2022-02-01,12.882206,80.074756,25,44,3
25,2022-02-01,12.881861,80.074681,26,46,3
26,2022-02-01,12.881725,80.075046,27,58,3
27,2022-02-01,12.881536,80.075368,28,85,3
28,2022-02-01,12.881421,80.07583,29,51,3
29,2022-02-01,12.881264,80.076291,30,43,3
30,2022-02-01,12.879586,80.07653,31,45,4
31,2022-02-01,12.879356,80.076605,32,99,4
32,2022-02-01,12.879282,80.076814,33,59,4
33,2022-02-01,12.879481,80.076503,34,41,4
34,2022-02-01,12.879251,80.077018,35,57,4
35,2022-02-01,12.879193,80.077212,36,37,4
36,2022-02-01,12.879146,80.077357,37,74,4
37,2022-02-01,12.879037,80.077459,38,38,4
38,2022-02-01,12.878995,80.077695,39,67,4
39,2022-02-01,12.878911,80.077877,40,56,4
40,2022-02-01,12.879795,80.07505,41,38,5
41,2022-02-01,12.87969,80.075254,42,50,5
42,2022-02-01,12.880046,80.074761,43,92,5
43,2022-02-01,12.88037,80.075362,44,59,5
44,2022-02-01,12.880642,80.075008,45,44,5
45,2022-02-01,12.881113,80.075201,46,71,5
46,2022-02-01,12.880893,80.075544,47,45,5
47,2022-02-01,12.881018,80.075534,48,75,5
48,2022-02-01,12.879696,80.075132,49,85,5
49,2022-02-01,12.881133,80.075362,50,99,5
50,2022-02-02,12.879995,80.07858,1,71,1
51,2022-02-02,12.880075,80.078284,2,28,1
52,2022-02-02,12.880195,80.078042,3,32,1
53,2022-02-02,12.880242,80.077833,4,66,1
54,2022-02-02,12.880336,80.077602,5,67,1
55,2022-02-02,12.880424,80.077378,6,70,1
56,2022-02-02,12.880503,80.077136,7,40,1
57,2022-02-02,12.88043,80.076799,8,42,1
58,2022-02-02,12.880518,80.076922,9,65,1
59,2022-02-02,12.880215,80.076766,10,55,1
60,2022-02-02,12.880027,80.076831,11,50,2
61,2022-02-02,12.879985,80.076997,12,30,2
62,2022-02-02,12.879938,80.077174,13,37,2
63,2022-02-02,12.879901,80.077351,14,44,2
64,2022-02-02,12.879818,80.077496,15,32,2
65,2022-02-02,12.879781,80.077743,16,100,2
66,2022-02-02,12.879708,80.077904,17,58,2
67,2022-02-02,12.87965,80.07806,18,54,2
68,2022-02-02,12.879603,80.078264,19,39,2
69,2022-02-02,12.879512,80.078409,20,39,2
70,2022-02-02,12.881547,80.076461,21,52,3
71,2022-02-02,12.881715,80.075999,22,79,3
72,2022-02-02,12.881924,80.075602,23,83,3
73,2022-02-02,12.882101,80.075261,24,78,3
74,2022-02-02,12.882206,80.074756,25,58,3
75,2022-02-02,12.881861,80.074681,26,97,3
76,2022-02-02,12.881725,80.075046,27,31,3
77,2022-02-02,12.881536,80.075368,28,72,3
78,2022-02-02,12.881421,80.07583,29,96,3
79,2022-02-02,12.881264,80.076291,30,75,3
80,2022-02-02,12.879586,80.07653,31,28,4
81,2022-02-02,12.879356,80.076605,32,39,4
82,2022-02-02,12.879282,80.076814,33,25,4
83,2022-02-02,12.879481,80.076503,34,54,4
84,2022-02-02,12.879251,80.077018,35,34,4
85,2022-02-02,12.879193,80.077212,36,35,4
86,2022-02-02,12.879146,80.077357,37,88,4
87,2022-02-02,12.879037,80.077459,38,30,4
88,2022-02-02,12.878995,80.077695,39,93,4
89,2022-02-02,12.878911,80.077877,40,60,4
90,2022-02-02,12.879795,80.07505,41,67,5
91,2022-02-02,12.87969,80.075254,42,74,5
92,2022-02-02,12.880046,80.074761,43,43,5
93,2022-02-02,12.88037,80.075362,44,85,5
94,2022-02-02,12.880642,80.075008,45,58,5
95,2022-02-02,12.881113,80.075201,46,83,5
96,2022-02-02,12.880893,80.075544,47,60,5
97,2022-02-02,12.881018,80.075534,48,46,5
98,2022-02-02,12.879696,80.075132,49,54,5
99,2022-02-02,12.881133,80.075362,50,26,5
100,2022-02-03,12.879995,80.07858,1,35,1
101,2022-02-03,12.880075,80.078284,2,48,1
102,2022-02-03,12.880195,80.078042,3,80,1
103,2022-02-03,12.880242,80.077833,4,53,1
104,2022-02-03,12.880336,80.077602,5,69,1
105,2022-02-03,12.880424,80.077378,6,92,1
106,2022-02-03,12.880503,80.077136,7,64,1
107,2022-02-03,12.88043,80.076799,8,37,1
108,2022-02-03,12.880518,80.076922,9,91,1
109,2022-02-03,12.880215,80.076766,10,35,1
110,2022-02-03,12.880027,80.076831,11,25,2
111,2022-02-03,12.879985,80.076997,12,76,2
112,2022-02-03,12.879938,80.077174,13,46,2
113,2022-02-03,12.879901,80.077351,14,84,2
114,2022-02-03,12.879818,80.077496,15,79,2
115,2022-02-03,12.879781,80.077743,16,56,2
116,2022-02-03,12.879708,80.077904,17,32,2
117,2022-02-03,12.87965,80.07806,18,69,2
118,2022-02-03,12.879603,80.078264,19,90,2
119,2022-02-03,12.879512,80.078409,20,63,2
120,2022-02-03,12.881547,80.076461,21,99,3
121,2022-02-03,12.881715,80.075999,22,31,3
122,2022-02-03,12.881924,80.075602,23,46,3
123,2022-02-03,12.882101,80.075261,24,79,3
124,2022-02-03,12.882206,80.074756,25,37,3
125,2022-02-03,12.881861,80.074681,26,97,3
126,2022-02-03,12.881725,80.075046,27,66,3
127,2022-02-03,12.881536,80.075368,28,78,3
128,2022-02-03,12.881421,80.07583,29,76,3
129,2022-02-03,12.881264,80.076291,30,39,3
130,2022-02-03,12.879586,80.07653,31,83,4
131,2022-02-03,12.879356,80.076605,32,81,4
132,2022-02-03,12.879282,80.076814,33,37,4
133,2022-02-03,12.879481,80.076503,34,47,4
134,2022-02-03,12.879251,80.077018,35,38,4
135,2022-02-03,12.879193,80.077212,36,91,4
136,2022-02-03,12.879146,80.077357,37,73,4
137,2022-02-03,12.879037,80.077459,38,100,4
138,2022-02-03,12.878995,80.077695,39,94,4
139,2022-02-03,12.878911,80.077877,40,94,4
140,2022-02-03,12.879795,80.07505,41,51,5
141,2022-02-03,12.87969,80.075254,42,56,5
142,2022-02-03,12.880046,80.074761,43,28,5
143,2022-02-03,12.88037,80.075362,44,69,5
144,2022-02-03,12.880642,80.075008,45,69,5
145,2022-02-03,12.881113,80.075201,46,79,5
146,2022-02-03,12.880893,80.075544,47,69,5
147,2022-02-03,12.881018,80.075534,48,63,5
148,2022-02-03,12.879696,80.075132,49,79,5
149,2022-02-03,12.881133,80.075362,50,60,5
150,2022-02-04,12.879995,80.07858,1,55,1
151,2022-02-04,12.880075,80.078284,2,83,1
152,2022-02-04,12.880195,80.078042,3,50,1
153,2022-02-04,12.880242,80.077833,4,38,1
154,2022-02-04,12.880336,80.077602,5,59,1
155,2022-02-04,12.880424,80.077378,6,46,1
156,2022-02-04,12.880503,80.077136,7,65,1
157,2022-02-04,12.88043,80.076799,8,59,1
158,2022-02-04,12.880518,80.076922,9,85,1
159,2022-02-04,12.880215,80.076766,10,92,1
160,2022-02-04,12.880027,80.076831,11,49,2
161,2022-02-04,12.879985,80.076997,12,61,2
162,2022-02-04,12.879938,80.077174,13,52,2
163,2022-02-04,12.879901,80.077351,14,75,2
164,2022-02-04,12.879818,80.077496,15,99,2
165,2022-02-04,12.879781,80.077743,16,45,2
166,2022-02-04,12.879708,80.077904,17,82,2
167,2022-02-04,12.87965,80.07806,18,34,2
168,2022-02-04,12.879603,80.078264,19,38,2
169,2022-02-04,12.879512,80.078409,20,88,2
170,2022-02-04,12.881547,80.076461,21,43,3
171,2022-02-04,12.881715,80.075999,22,39,3
172,2022-02-04,12.881924,80.075602,23,36,3
173,2022-02-04,12.882101,80.075261,24,89,3
174,2022-02-04,12.882206,80.074756,25,70,3
175,2022-02-04,12.881861,80.074681,26,42,3
176,2022-02-04,12.881725,80.075046,27,68,3
177,2022-02-04,12.881536,80.075368,28,95,3
178,2022-02-04,12.881421,80.07583,29,57,3
179,2022-02-04,12.881264,80.076291,30,51,3
180,2022-02-04,12.879586,80.07653,31,54,4
181,2022-02-04,12.879356,80.076605,32,52,4
182,2022-02-04,12.879282,80.076814,33,77,4
183,2022-02-04,12.879481,80.076503,34,44,4
184,2022-02-04,12.879251,80.077018,35,25,4
185,2022-02-04,12.879193,80.077212,36,36,4
186,2022-02-04,12.879146,80.077357,37,99,4
187,2022-02-04,12.879037,80.077459,38,25,4
188,2022-02-04,12.878995,80.077695,39,79,4
189,2022-02-04,12.878911,80.077877,40,42,4
190,2022-02-04,12.879795,80.07505,41,81,5
191,2022-02-04,12.87969,80.075254,42,32,5
192,2022-02-04,12.880046,80.074761,43,75,5
193,2022-02-04,12.88037,80.075362,44,56,5
194,2022-02-04,12.880642,80.075008,45,70,5
195,2022-02-04,12.881113,80.075201,46,34,5
196,2022-02-04,12.880893,80.075544,47,86,5
197,2022-02-04,12.881018,80.075534,48,83,5
198,2022-02-04,12.879696,80.075132,49,36,5
199,2022-02-04,12.881133,80.075362,50,50,5
200,2022-02-05,12.879995,80.07858,1,37,1
201,2022-02-05,12.880075,80.078284,2,33,1
202,2022-02-05,12.880195,80.078042,3,96,1
203,2022-02-05,12.880242,80.077833,4,69,1
204,2022-02-05,12.880336,80.077602,5,79,1
205,2022-02-05,12.880424,80.077378,6,92,1
206,2022-02-05,12.880503,80.077136,7,41,1
207,2022-02-05,12.88043,80.076799,8,80,1
208,2022-02-05,12.880518,80.076922,9,84,1
209,2022-02-05,12.880215,80.076766,10,73,1
210,2022-02-05,12.880027,80.076831,11,62,2
211,2022-02-05,12.879985,80.076997,12,62,2
212,2022-02-05,12.879938,80.077174,13,86,2
213,2022-02-05,12.879901,80.077351,14,65,2
214,2022-02-05,12.879818,80.077496,15,55,2
215,2022-02-05,12.879781,80.077743,16,43,2
216,2022-02-05,12.879708,80.077904,17,73,2
217,2022-02-05,12.87965,80.07806,18,84,2
218,2022-02-05,12.879603,80.078264,19,65,2
219,2022-02-05,12.879512,80.078409,20,61,2
220,2022-02-05,12.881547,80.076461,21,90,3
221,2022-02-05,12.881715,80.075999,22,51,3
222,2022-02-05,12.881924,80.075602,23,50,3
223,2022-02-05,12.882101,80.075261,24,75,3
224,2022-02-05,12.882206,80.074756,25,79,3
225,2022-02-05,12.881861,80.074681,26,33,3
226,2022-02-05,12.881725,80.075046,27,50,3
227,2022-02-05,12.881536,80.075368,28,89,3
228,2022-02-05,12.881421,80.07583,29,71,3
229,2022-02-05,12.881264,80.076291,30,99,3
230,2022-02-05,12.879586,80.07653,31,95,4
231,2022-02-05,12.879356,80.076605,32,83,4
232,2022-02-05,12.879282,80.076814,33,91,4
233,2022-02-05,12.879481,80.076503,34,39,4
234,2022-02-05,12.879251,80.077018,35,61,4
235,2022-02-05,12.879193,80.077212,36,46,4
236,2022-02-05,12.879146,80.077357,37,30,4
237,2022-02-05,12.879037,80.077459,38,64,4
238,2022-02-05,12.878995,80.077695,39,90,4
239,2022-02-05,12.878911,80.077877,40,90,4
240,2022-02-05,12.879795,80.07505,41,99,5
241,2022-02-05,12.87969,80.075254,42,79,5
242,2022-02-05,12.880046,80.074761,43,57,5
243,2022-02-05,12.88037,80.075362,44,44,5
244,2022-02-05,12.880642,80.075008,45,56,5
245,2022-02-05,12.881113,80.075201,46,27,5
246,2022-02-05,12.880893,80.075544,47,27,5
247,2022-02-05,12.881018,80.075534,48,82,5
248,2022-02-05,12.879696,80.075132,49,43,5
249,2022-02-05,12.881133,80.075362,50,38,5
250,2022-02-06,12.879995,80.07858,1,59,1
251,2022-02-06,12.880075,80.078284,2,95,1
252,2022-02-06,12.880195,80.078042,3,71,1
253,2022-02-06,12.880242,80.077833,4,85,1
254,2022-02-06,12.880336,80.077602,5,25,1
255,2022-02-06,12.880424,80.077378,6,71,1
256,2022-02-06,12.880503,80.077136,7,54,1
257,2022-02-06,12.88043,80.076799,8,45,1
258,2022-02-06,12.880518,80.076922,9,93,1
259,2022-02-06,12.880215,80.076766,10,93,1
260,2022-02-06,12.880027,80.076831,11,99,2
261,2022-02-06,12.879985,80.076997,12,89,2
262,2022-02-06,12.879938,80.077174,13,28,2
263,2022-02-06,12.879901,80.077351,14,50,2
264,2022-02-06,12.879818,80.077496,15,42,2
265,2022-02-06,12.879781,80.077743,16,44,2
266,2022-02-06,12.879708,80.077904,17,45,2
267,2022-02-06,12.87965,80.07806,18,26,2
268,2022-02-06,12.879603,80.078264,19,26,2
269,2022-02-06,12.879512,80.078409,20,96,2
270,2022-02-06,12.881547,80.076461,21,76,3
271,2022-02-06,12.881715,80.075999,22,27,3
272,2022-02-06,12.881924,80.075602,23,86,3
273,2022-02-06,12.882101,80.075261,24,87,3
274,2022-02-06,12.882206,80.074756,25,97,3
275,2022-02-06,12.881861,80.074681,26,43,3
276,2022-02-06,12.881725,80.075046,27,96,3
277,2022-02-06,12.881536,80.075368,28,95,3
278,2022-02-06,12.881421,80.07583,29,34,3
279,2022-02-06,12.881264,80.076291,30,48,3
280,2022-02-06,12.879586,80.07653,31,82,4
281,2022-02-06,12.879356,80.076605,32,35,4
282,2022-02-06,12.879282,80.076814,33,39,4
283,2022-02-06,12.879481,80.076503,34,29,4
284,2022-02-06,12.879251,80.077018,35,81,4
285,2022-02-06,12.879193,80.077212,36,53,4
286,2022-02-06,12.879146,80.077357,37,37,4
287,2022-02-06,12.879037,80.077459,38,86,4
288,2022-02-06,12.878995,80.077695,39,41,4
289,2022-02-06,12.878911,80.077877,40,53,4
290,2022-02-06,12.879795,80.07505,41,99,5
